DscConjUndConsumidoras,DEC,FEC,Custo_Violacao_Continuidade_R$,Custo_Violacao_Tensao_R$,Custo_Compensacao_Geral_R$,Total_Compensacao_R$
PATAMARES,0.4582191780821918,0.26575342465753427,1462620.92,0.0,0.0,1462620.92
MUCUGE,0.9060273972602739,0.4717808219178082,1460054.07,0.0,0.0,1460054.07
CAJAZEIRAS II,0.34123287671232877,0.2052054794520548,1420038.07,0.0,0.0,1420038.07
PONTO DO ASTERIO,0.9919178082191781,0.4002739726027397,1382579.27,0.0,0.0,1382579.27
LAPINHA,0.26465753424657534,0.1604109589041096,1348346.95,0.0,0.0,1348346.95
ALAGOINHAS,0.6475000000000001,0.3075,1312854.29,0.0,0.0,1312854.29
RETIRO,0.3402739726027397,0.20753424657534247,1299387.07,0.0,0.0,1299387.07
GUARAJUBA,1.1156164383561644,0.48890410958904107,1289070.61,0.0,0.0,1289070.61
"ITABUNA II 13,8kV",0.49291666666666667,0.33749999999999997,1231346.58,0.0,0.0,1231346.58
MALHADA,1.4116438356164382,0.4605479452054794,1218065.57,0.0,0.0,1218065.57
SANTO ANTONIO DE JESUS,0.7733333333333333,0.3425,1207416.49,0.0,0.0,1207416.49
ANGICAL,1.5236986301369864,0.5767123287671233,1204229.53,0.0,0.0,1204229.53
SANTO AMARO,0.9828767123287672,0.6231506849315068,1191721.48,0.0,0.0,1191721.48
FEIRA DE SANTANA  I,0.20410958904109588,0.13438356164383564,1185298.45,0.0,0.0,1185298.45
IMBUI,0.4582191780821918,0.2579452054794521,1172292.61,0.0,0.0,1172292.61
"EUNAPOLIS 13,8kV",0.4852083333333333,0.35541666666666666,1168495.04,0.0,0.0,1168495.04
PARIPE,0.38273972602739725,0.2638356164383562,1150822.43,0.0,0.0,1150822.43
ITAPAGIPE,0.30246575342465754,0.17671232876712328,1143075.42,0.0,0.0,1143075.42
SANTA MONICA,0.3628767123287671,0.25616438356164384,1142641.61,0.0,0.0,1142641.61
PORTO SEGURO,0.5632,0.26839999999999997,1138891.83,0.0,0.0,1138891.83
TOURAO,2.2414583333333336,0.6525,1111083.83,0.0,0.0,1111083.83
