DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;PGUGATDC;Valor pago as UGs AT por violacao dos limites de DICRI
2026-03-05;PGUGATT;Valor pago a UGs AT por violacao dos limites de cont no trimestre
2026-03-05;PGUGBTNU;Valor pago a UGs BT não urbanas por violacao dos limites de cont no mes
2026-03-05;PGUGBTNUA;Valor pago a UGs BT não urbanas por violacao dos limites de cont no ano
2026-03-05;PGUGBTNUDC;Valor pago as UGs BT não urbanas por violacao dos limites de DICRI
2026-03-05;PGUGBTNUT;Valor pago a UGs BT não urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUGBTU;Valor pago a UGs BT urbanas por violacao dos limites de continuidade no mes
2026-03-05;PGUGBTUA;Valor pago a UGs BT urbanas por violacao dos limites de cont no ano
2026-03-05;PGUGBTUDC;Valor pago as UGs BT urbanas por violacao dos limites de DICRI
2026-03-05;PGUGBTUT;Valor pago a UGs BT urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUGMTNU;Valor pago a UGs MT não urbanas por violacao dos limites de cont no mes
2026-03-05;PGUGMTNUA;Valor pago a UGs MT não urbanas por violacao dos limites de cont no ano
2026-03-05;PGUGMTNUDC;Valor pago as UGs MT não urbanas por violacao dos limites de DICRI
2026-03-05;PGUGMTNUT;Valor pago a UGs MT não urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUGMTU;Valor pago a UGs MT urbanas por violacao dos limites de continuidade no mes
2026-03-05;PGUGMTUA;Valor pago a UGs MT urbanas por violacao dos limites de cont no ano
2026-03-05;PGUGMTUDC;Valor pago as UGs MT urbanas por violacao dos limites de DICRI
2026-03-05;PGUGMTUT;Valor pago a UGs MT urbanas por violacao dos limites de cont no trimestre
2026-03-05;PMAfedMed;Prazo Médio de solicitações de aferição dos medidores (art. 137)
2026-03-05;PMAnProj;Prazo Médio de informação do resultado da análise do projeto (art. 27-B)
2026-03-05;PMCmsnObra;Prazo médio de Comissionamento das obras. (art. 37)
2026-03-05;PMEstProj;Prazo Médio de estudos, orçamentos e projetos por obras (art. 32)
2026-03-05;PMInform;Prazo Médio de informação da relação dos atendimentos (art. 199)
2026-03-05;PMLigA;Prazo Médio de ligação de unidade consumidora do grupo A (art. 31)
2026-03-05;PMLigBRr;Prazo Médio de ligação de consumidor do grupo B em área rural (art. 31)
2026-03-05;PMLigBUb;Prazo Médio de ligação de consumidor do grupo B em área urbana (art. 31)
2026-03-05;PMNvCmsn;Prazo médio de Novo comissionamento quando de reprovação. (art. 37)
2026-03-05;PMObGerais;Prazo médio de Conclusão de obra não abrang. nos inc. I e II do art. 34.
2026-03-05;PMObra;Prazo Médio de Início das Obras (art. 34)
2026-03-05;PMObraPrim;Prazo médio de Conclusão das obras de até 1 km na rede  prim. (art. 34)
2026-03-05;PMObraSec;Prazo médio de Conclusão das obras na rede tensão sec. (art. 34)
2026-03-05;PMPgtoRsc;Prazo Médio de ressarc. por meio do pgto, conserto ou subst. (art. 208)
2026-03-05;PMRclCobr;Prazo Médio de reclamação de cobrança ou devol. de diferenças (art. 133)
2026-03-05;PMRclDano;Prazo Médio de solução ref. à danos não elétricos reclamados (art. 197)
2026-03-05;PMRclVisTc;Prazo Médio de solução de reclamação com visita técnica (art. 197)
2026-03-05;PMReanProj;Prazo Médio de reanálise do projeto por falta de informação (art. 27-B)
2026-03-05;PMReligIdv;Prazo Médio de religação por suspensão indevida do fornec. (art. 176)
2026-03-05;PMRelNorRr;Prazo Médio de religação em área rural (art. 176)
2026-03-05;PMRelNorUb;Prazo Médio de religação em área urbana (art. 176)
2026-03-05;PMRelUrgRr;Prazo Médio de religação de emergência em área rural (art. 176)
2026-03-05;PMRelUrgUb;Prazo Médio de religação de emergência em área urbana (art. 176)
2026-03-05;PMResulRsc;Prazo Médio de resultado da solicitação de ressarcimento (art. 207)
2026-03-05;PMSubstMed;Prazo Médio de substituição do medidor com defeito (art. 115)
2026-03-05;PMVistRr;Prazo Médio de vistoria de unidade consumidora de área rural (art. 30)
2026-03-05;PMVistUb;Prazo médio de vistoria de unidade consumidora de área urbana (art. 30)
2026-03-05;PMVrfResfr;Prazo Médio de verif. de equip. de resfriamento por ressarc. (art. 206)
2026-03-05;PMVrfRsc;Prazo Médio de verif. de equip. por ressarc. de dano elétrico (art. 206)
2026-03-05;Pnie;Percentual do Número de Ocorreências Emergenciais com Interrupções
2026-03-05;PNIT;Potência instalada de transformadores de distribuição, em kVA, de todos os
2026-03-05;PNITT;Potencia Instalada de transformadores de distribuição em kVA
2026-03-05;QSAfedMed;Quantidade de solicitações de aferição dos medidores (art. 137)
2026-03-05;QSAnProj;Quantidade de informação do resultado da análise do projeto (art. 27-B)
2026-03-05;QSCmsnObra;Quantidade de Comissionamento das obras. (art. 37)
2026-03-05;QSEstProj;Quantidade de estudos, orçamentos e projetos por obras (art. 32)
2026-03-05;QSInform;Quantidade de informação da relação dos atendimentos (art. 199)
2026-03-05;QSLigA;Quantidade de ligação de unidade consumidora do grupo A (art. 31)
2026-03-05;QSLigBRr;Quantidade de ligação de consumidor do grupo B em área rural (art. 31)
2026-03-05;QSLigBUb;Quantidade de ligação de consumidor do grupo B em área urbana (art. 31)
2026-03-05;QSNvCmsn;Quantidade de Novo comissionamento quando de reprovação. (art. 37)
2026-03-05;QSObGerais;Quantidade de Conclusão de obra não abrang. nos inc. I e II do art. 34.
2026-03-05;QSObra;Quantidade de Início das Obras (art. 34)
2026-03-05;QSObraPrim;Quantidade de Conclusão das obras de até 1 km na rede prim. (art. 34)
2026-03-05;QSObraSec;Quantidade de Conclusão das obras na rede tensão sec. (art. 34)
2026-03-05;QSPgtoRsc;Quantidade de ressarc. por meio do pgto, conserto ou subst. (art. 208)
2026-03-05;QSRclCobr;Quantidade de reclamação de cobrança ou devol. de diferenças (art. 133)
2026-03-05;QSRclDano;Quantidade de solução ref. à danos não elétricos reclamados (art. 197)
2026-03-05;QSRclVisTc;Quantidade de solução de reclamação com visita técnica (art. 197)
2026-03-05;QSReanProj;Quantidade de reanálise do projeto por falta de informação (art. 27-B)
2026-03-05;QSReligIdv;Quantidade de religação por suspensão indevida do fornec. (art. 176)
2026-03-05;QSRelNorRr;Quantidade de religação em área rural (art. 176)
2026-03-05;QSRelNorUb;Quantidade de religação em área urbana (art. 176)
2026-03-05;QSRelUrgRr;Quantidade de religação de emergência em área rural (art. 176)
2026-03-05;QSRelUrgUb;Quantidade de religação de emergência em área urbana (art. 176)
2026-03-05;QSResulRsc;Quantidade de resultado da solicitação de ressarcimento (art. 207)
2026-03-05;QSSubstMed;Quantidade de substituição do medidor com defeito (art. 115)
2026-03-05;QSVistRr;Quantidade de vistoria de unidade consumidora de área rural (art. 30)
2026-03-05;QSVistUb;Quantidade de vistoria de unidade consumidora de área urbana (art. 30)
2026-03-05;QSVrfResfr;Quantidade de verif. de equip. de resfriamento por ressarc. (art. 206)
2026-03-05;QSVrfRsc;Quantidade de verif. de equip. por ressarc. de dano elétrico (art. 206)
2026-03-05;QTUCAT;Qtde de UCs AT compensadas por violacao dos limites de continuidade no mes
2026-03-05;QTUCATA;Qtde de UCs AT compens por violacao dos limites de cont no ano
2026-03-05;QTUCATDC;Qtde de UCs AT comp por violacao dos limites de DICRI
2026-03-05;QTUCATT;Qtde de UCs AT compens por violacao dos limites de cont no trimestre
2026-03-05;QTUCBTNU;Qtde de UCs BT não urbanas comp por violacao dos limites de cont no mes
2026-03-05;QTUCBTNUA;Qtde de UCs BT não urbanas comp por violacao dos limites de cont no ano
2026-03-05;QTUCBTNUDC;Qtde de UCs BT não urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUCBTNUT;Qtde de UCs BT não urbanas comp por violacao dos limites de cont no trimestre
2026-03-05;QTUCBTU;Qtde de UCs BT urbanas compensadas por violacao dos limites de cont no mes
2026-03-05;QTUCBTUA;Qtde de UCs BT urbanas compens por violacao dos limites de cont no ano
2026-03-05;QTUCBTUDC;Qtde de UCs BT urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUCBTUT;Qtde de UCs BT urbanas compens por violacao dos limites de cont no trimestre
2026-03-05;QTUCMTNU;Qtde de UCs MT não urbanas comp por violacao dos limites de cont no mes
2026-03-05;QTUCMTNUA;Qtde de UCs MT não urbanas comp por violacao dos limites de cont no ano
2026-03-05;QTUCMTNUDC;Qtde de UCs MT não urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUCMTNUT;Qtde de UCs MT não urbanas comp por violacao dos limites de cont no trimestre
2026-03-05;QTUCMTU;Qtde de UCs MT urbanas compensadas por violacao dos limites de cont no mes
2026-03-05;QTUCMTUA;Qtde de UCs MT urbanas compens por violacao dos limites de cont no ano
2026-03-05;QTUCMTUDC;Qtde de UCs MT urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUCMTUT;Qtde de UCs MT urbanas compens por violacao dos limites de cont no trimestre
2026-03-05;QTUCTRP;Qtde de UCs comp por violacao dos limites de tensao em regime permanente
2026-03-05;QTUCTRPA;Qtde de UC compens.-violação limites de tensão em regime perm–med.amostral
2026-03-05;QTUCTRPE;Qtde de UC compens.-violação limites de tensão em regime perm–med.eventual
2026-03-05;QTUCTRPP;Qtde de UC compens.-violação limites de tensão em regime perm–med.perman.
2026-03-05;QTUGAT;Qtde de UGs AT compensadas por violacao dos limites de continuidade no mes
2026-03-05;QTUGATA;Qtde de UGs AT compens por violacao dos limites de cont no ano
2026-03-05;QTUGATDC;Qtde de UGs AT comp por violacao dos limites de DICRI
2026-03-05;QTUGATT;Qtde de UGs AT compens por violacao dos limites de cont no trimestre
2026-03-05;QTUGBTNU;Qtde de UGs BT não urbanas comp por violacao dos limites de cont no mes
2026-03-05;QTUGBTNUA;Qtde de UGs BT não urbanas comp por violacao dos limites de cont no ano
2026-03-05;QTUGBTNUDC;Qtde de UGs BT não urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUGBTNUT;Qtde de UGs BT não urbanas comp por violacao dos limites de cont no trimestre
2026-03-05;QTUGBTU;Qtde de UGs BT urbanas compensadas por violacao dos limites de cont no mes
2026-03-05;QTUGBTUA;Qtde de UGs BT urbanas compens por violacao dos limites de cont no ano
2026-03-05;QTUGBTUDC;Qtde de UGs BT urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUGBTUT;Qtde de UGs BT urbanas compens por violacao dos limites de cont no trimestre
2026-03-05;QTUGMTNU;Qtde de UGs MT não urbanas comp por violacao dos limites de cont no mes
2026-03-05;QTUGMTNUA;Qtde de UGs MT não urbanas comp por violacao dos limites de cont no ano
2026-03-05;QTUGMTNUDC;Qtde de UGs MT não urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUGMTNUT;Qtde de UGs MT não urbanas comp por violacao dos limites de cont no trimestre
2026-03-05;QTUGMTU;Qtde de UGs MT urbanas compensadas por violacao dos limites de cont no mes
2026-03-05;QTUGMTUA;Qtde de UGs MT urbanas compens por violacao dos limites de cont no ano
2026-03-05;QTUGMTUDC;Qtde de UGs MT urbanas comp por violacao dos limites de DICRI
2026-03-05;QTUGMTUT;Qtde de UGs MT urbanas compens por violacao dos limites de cont no trimestre
2026-03-05;QVAfedMed;Quant. Prazos Viol. de solicitações de aferição dos medidores (art. 137)
2026-03-05;QVAnProj;Quant. Prazos Viol. de informação do resultado da análise do projeto (art. 27-B)
2026-03-05;QVCmsnObra;Quant. Prazos Viol. de Comissionamento das obras. (art. 37)
2026-03-05;QVEstProj;Quant. Prazos Viol. de estudos, orçamentos e projetos por obras (art. 32)
2026-03-05;QVInform;Quant. Prazos Viol. de informação da relação dos atendimentos (art. 199)
2026-03-05;QVLigA;Quant. Prazos Viol. de ligação de unidade consumidora do grupo A (art. 31)
2026-03-05;QVLigBRr;Quant. Prazos Viol. de ligação de consumidor do grupo B em área rural (art. 31)
2026-03-05;QVLigBUb;Quant. Prazos Viol. de ligação de consumidor do grupo B em área urbana (art. 31)
2026-03-05;QVNvCmsn;Quant. Prazos Viol. de Novo comissionamento quando de reprovação. (art. 37)
2026-03-05;QVObGerais;Quant. Prazos Viol. de Conclusão de obra não abrang. nos inc. I e II do art. 34.
2026-03-05;QVObra;Quant. Prazos Viol. de Início das Obras (art. 34)
2026-03-05;QVObraPrim;Quant. Prazos Viol. de Conclusão das obras de até 1 km na rede prim. (art. 34)
2026-03-05;QVObraSec;Quant. Prazos Viol. de Conclusão das obras na rede tensão sec. (art. 34)
2026-03-05;QVPgtoRsc;Quant. Prazos Viol. de ressarc. por meio do pgto, conserto ou subst. (art. 208)
2026-03-05;QVRclCobr;Quant. Prazos Viol. de reclamação de cobrança ou devol. de diferenças (art. 133)
2026-03-05;QVRclDano;Quant. Prazos Viol. de solução ref. à danos não elétricos reclamados (art. 197)
2026-03-05;QVRclVisTc;Quant. Prazos Viol. de solução de reclamação com visita técnica (art. 197)
2026-03-05;QVReanProj;Quant. Prazos Viol. de reanálise do projeto por falta de informação (art. 27-B)
2026-03-05;QVReligIdv;Quant. Prazos Viol. de religação por suspensão indevida do fornec. (art. 176)
2026-03-05;QVRelNorRr;Quant. Prazos Viol. de religação em área rural (art. 176)
2026-03-05;QVRelNorUb;Quant. Prazos Viol. de religação em área urbana (art. 176)
2026-03-05;QVRelUrgRr;Quant. Prazos Viol. de religação de emergência em área rural (art. 176)
2026-03-05;QVRelUrgUb;Quant. Prazos Viol. de religação de emergência em área urbana (art. 176)
2026-03-05;QVResulRsc;Quant. Prazos Viol. de resultado da solicitação de ressarcimento (art. 207)
2026-03-05;QVSubstMed;Quant. Prazos Viol. de substituição do medidor com defeito (art. 115)
2026-03-05;QVVistRr;Quant. Prazos Viol. vistoria de unidade consumidora de área rural (art. 30)
2026-03-05;QVVistUb;Quant. Prazos Viol. de vistoria de unidade consumidora de área urbana (art. 30)
2026-03-05;QVVrfResfr;Quant. Prazos Viol. de verif. de equip. de resfriamento por ressarc. (art. 206)
2026-03-05;QVVrfRsc;Quant. Prazos Viol. de verif. de equip. por ressarc. de dano elétrico (art. 206)
2026-03-05;TI1;Tensão Interna
2026-03-05;TMD;Tempo Médio de Deslocamento
2026-03-05;TME;Tempo Médio de Execução
2026-03-05;TMM;Tempo Médio de Mobilização
2026-03-05;TMP;Tempo Médio de Preparação
2026-03-05;TNS;Tensão
2026-03-05;TNSA;Tensão
2026-03-05;TNST;Tensão
2026-03-05;TSC;Tipo de sistema do conjunto, 1: Sistema Interligado; 2:Sistema Isolado
2026-03-05;TSCT;Tipo de sistema do conjunto. 1: Interligado, 2: Isolado
2026-03-05;TXFQAC;Taxa de frequencia de acidentes do trabalho
2026-03-05;TXGRAC;Taxa de gravidade de acidentes do trabalho
2026-03-05;VLCLACRI;Valor utilizado no ano para identificar se um dia pode ser classificado critico
