DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;DIADEBPTJ;Dias Debitados - Próprio Trajeto
2026-03-05;DIADEBPTP;Dias Debitados - Próprio Típico
2026-03-05;DIADEBTTP;Dias Debitados - Terceirizado Típico
2026-03-05;DIAPRDPDO;Dias Perdidos - Próprio Doença
2026-03-05;DIAPRDPTJ;Dias Perdidos - Próprio Trajeto
2026-03-05;DIAPRDPTP;Dias Perdidos - Próprio Típico
2026-03-05;DIAPRDTTP;Dias Perdidos - Terceirizado Típico
2026-03-05;DICVLD;Valor apurado do indicador DIC
2026-03-05;DICVLDA;Valor apurado do indicador DIC
2026-03-05;DICVLDT;Valor apurado do indicador DIC
2026-03-05;DMICVLD;Valor apurado do indicador DMIC
2026-03-05;DMICVLDA;Valor apurado do indicador DMIC violado
2026-03-05;DMICVLDT;Valor apurado do indicador DMIC violado
2026-03-05;DRC;Duração Relativa da Transgressão Máxima de Tensão Crítica Mensal
2026-03-05;DRCt;Duração Relativa da Transgressão Máxima de Tensão Crítica
2026-03-05;DRCVLD;Valor apurado do indicador DRC violado
2026-03-05;DRP;Duração Relativa da Transgressão Máxima de Tensão Precária Mensal
2026-03-05;DRPt;Duração Relativa da Transgressão Máxima de Tensão Precária
2026-03-05;DRPVLD;Valor apurado do indicador DRP violado
2026-03-05;ERP;Extensão de rede primária com nível de tensão inferior a 69kV, em km
2026-03-05;ERPT;Extensão de Rede Primária em km
2026-03-05;ERPTRU;Ext de rede de MT que atendem a área rur, redes próp e redes particulares
2026-03-05;ERPTUR;Ext de rede de MT que atendem a área urb, redes próp e redes particulares
2026-03-05;FEC;Freqüência Equivalente de Interrupção por Unidade Consumidora - 3 Min.
2026-03-05;Fec1;Freqüencia Equivalente de Interrupção por Unidade Consumidora - 1 Min.
2026-03-05;FEC1i;Freqüência Equivalente de Interrupção por Unid. Cons. Decor.Rede Própria - 1 Min
2026-03-05;Fec1r;Freqüência Equivalente de Interrupção por Unidade Consumidora (Racion.)- 1 Min.
2026-03-05;FEC1x;Freqüência Equivalente de Interrupção por Unid. Cons. Fat. Externos - 1 Min
2026-03-05;FECi;Freqüência Equivalente de Interrupção por Unid. Cons. Decor.Rede Própria - 3 Min
2026-03-05;FECINC;FEC de interrup. origem interna ao Sist. de Dist. não progr. e ocor. Dia Crítico
2026-03-05;FECIND;FEC interrup origem interna, não programada e não expurgavel
2026-03-05;FECINE;FEC interrup. origem interna, não progr. e ocor. Sit. Emerg, n ocor critico.
2026-03-05;FECINO;FEC interrup. origem interna não progr. Racionamento e ONS, n ocor dia critico.
2026-03-05;FECIP;FEC de interrupção de origem interna ao Sist. de Dist. e programada
2026-03-05;FECIPC;FEC interrup. origem inter. ao sist distr, prog. e ocorr. em dia crítico
2026-03-05;Fecr;Freqüência Equivalente de Interrupção por Unidade Consumidora (Racion.)- 3 Min.
2026-03-05;FECx;Freqüência Equivalente de Interrupção por Unid. Cons. Decor.Fat.Externos - 3 Min
2026-03-05;FECXN;FEC de interrupção de origem externa ao Sist. de Dist. e não programada
2026-03-05;FECXNC;FEC interrup. origem ext. ao sist distr, não prog. e ocorr. em dia crítico
2026-03-05;FECXP;FEC de interrupção de origem externa ao Sist. de Dist. e programada
2026-03-05;FECXPC;FEC interrup. origem ext. ao sist distr, prog. e ocorr. em dia crítico
2026-03-05;FICVLD;Valor apurado do indicador FIC
2026-03-05;FICVLDA;Valor apurado do indicador FIC
2026-03-05;FICVLDT;Valor apurado do indicador FIC
2026-03-05;FQACCAPDO;Taxa de frequência de acidentados com lesão com afastamento - Próprio
2026-03-05;FQACCAPTP;Taxa de frequência de acidentados com lesão com afastamento - Próprio
2026-03-05;FQACCATTP;Taxa de frequência de acidentados com lesão com afastamento - Terceiri
2026-03-05;FQACPDO;Taxa de frequencia de acidentes do trabalho - Próprio Doença
2026-03-05;FQACPTP;Taxa de frequencia de acidentes do trabalho - Próprio Típico
2026-03-05;FQACSAPDO;Taxa de frequência de acidentados com lesão sem afastamento - Próprio
2026-03-05;FQACSAPTP;Taxa de frequência de acidentados com lesão sem afastamento - Próprio
2026-03-05;FQACSATTP;Taxa de frequência de acidentados com lesão sem afastamento - Terceiri
2026-03-05;FQACTTP;Taxa de frequencia de acidentes do trabalho - Terceirizado Típico
2026-03-05;GRVACPDO;Taxa de gravidade de acidentes do trabalho - Próprio Doença
2026-03-05;GRVACPTP;Taxa de gravidade de acidentes do trabalho - Próprio Típico
2026-03-05;GRVACTTP;Taxa de gravidade de acidentes do trabalho - Terceirizado Típico
2026-03-05;HHRISACP;Horas-Homem de exposição ao risco de acidentes - Próprio
2026-03-05;HHRISACT;Horas-Homem de exposição ao risco de acidentes - Terceirizado
2026-03-05;ICC;Índices de Unidades Consumidoras com Tensão Crítica
2026-03-05;ICom1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;ICom12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Comercial
